# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Sat Jun  6 17:18:26 2015
#
# COLUMN pl_orbper:      Orbital Period [days]
# COLUMN pl_orbsmax:     Orbit Semi-Major Axis [AU])
# COLUMN pl_orbeccen:    Eccentricity
# COLUMN pl_dens:        Planet Density [g/cm**3]
# COLUMN pl_orbincl:     Inclination [deg]
# COLUMN st_dist:        Distance [pc]
# COLUMN st_teff:        Effective Temperature [K]
# COLUMN st_mass:        Stellar Mass [Solar mass]
# COLUMN st_rad:         Stellar Radius [Solar radii]
# COLUMN hd_name:        HD Name
# COLUMN pl_name:        Planet Name
# COLUMN pl_masse:       Planet Mass [Earth mass]
# COLUMN pl_rade:        Planet Radius [Earth radii]
# COLUMN st_age:         Stellar Age [Gyr]
#
rowid,pl_orbper,pl_orbsmax,pl_orbeccen,pl_dens,pl_orbincl,st_dist,st_teff,st_mass,st_rad,hd_name,pl_name,pl_masse,pl_rade,st_age
1,326.03000000,1.290000,0.231000,,,110.62,4742.00,2.7000,19.00,HD 107383,11 Com b,,,
2,516.22000000,1.540000,0.080000,,,119.47,4340.00,1.8000,24.08,HD 136726,11 UMi b,,,1.560
3,185.84000000,0.830000,0.000000,,,76.39,4813.00,2.2000,11.00,HD 221345,14 And b,,,
4,1773.40000000,2.770000,0.369000,,,18.15,5311.00,0.9000,,HD 145675,14 Her b,,,
5,798.50000000,1.681000,0.681000,,,21.41,5674.00,0.9900,,HD 186427,16 Cyg B b,533.93000,,
6,993.30000000,2.600000,0.080000,,,73.10,4979.00,2.3000,8.50,HD 199665,18 Del b,,,
7,,330.000000,,,,145.00,4060.00,0.8500,,,1RXS J160929.1-210524 b,3000.00000,,0.005
8,452.80000000,1.333000,0.090000,,,74.79,5098.00,1.5400,4.90,HD 90043,24 Sex b,,,2.700
9,883.00000000,2.080000,0.290000,,,74.79,5098.00,1.5400,4.90,HD 90043,24 Sex c,,,2.700
10,,52.000000,,,,36.00,3530.00,0.4000,,,2MASS J01225093-2439505 b,7786.50000,,0.120
11,,156.000000,,,,39.40,3064.00,0.1080,0.28,,2MASS J02192210-3925225 b,4417.83700,16.141,0.035
12,,15.000000,,,,140.00,,0.0190,,,2MASS J04414489+2301513 b,2383.60000,,0.001
13,,46.000000,,,,52.40,,0.0240,,,2MASS J12073346-3932539 b,1271.00000,,0.008
14,416.00000000,0.920000,,,,,,0.4800,,,2MASS J19383260+4603591 b,603.87700,,
15,7336.50000000,,0.260000,,46.200,25.00,2300.00,0.0800,0.12,,2MASS J21402931+1625183 A b,6657.48000,10.310,
16,335.10000000,0.995000,0.289000,,,39.43,6300.00,1.1600,1.13,HD 16232,30 Ari B b,,,0.910
17,269.30000000,0.870000,0.432000,,,77.40,4415.00,1.2340,18.11,HD 73108,4 UMa b,,,4.604
18,479.10000000,1.190000,0.380000,,,97.28,4200.00,0.9800,22.03,HD 170693,42 Dra b,,,9.490
19,1078.00000000,2.100000,0.032000,,,14.08,5892.00,1.0300,1.23,HD 95128,47 UMa b,,,7.300
20,2391.00000000,3.600000,0.098000,,,14.08,5892.00,1.0300,1.23,HD 95128,47 UMa c,,,7.300
21,14002.00000000,11.600000,0.160000,,,14.08,5892.00,1.0300,1.23,HD 95128,47 UMa d,,,7.300
22,4.23078500,0.052700,0.013000,,,15.36,5793.00,1.1200,1.20,HD 217014,51 Peg b,,,4.000
23,14.65152000,0.115227,0.003400,,90.000,12.53,5196.00,0.9050,0.94,HD 75732,55 Cnc b,263.97850,,10.200
24,44.41750000,0.241376,0.020000,,90.000,12.53,5196.00,0.9050,0.94,HD 75732,55 Cnc c,54.47380,,10.200
25,4825.00000000,5.503000,0.019000,,90.000,12.53,5196.00,0.9050,0.94,HD 75732,55 Cnc d,1232.49300,,10.200
26,0.73655150,0.015691,0.040000,,90.000,12.53,5196.00,0.9050,0.94,HD 75732,55 Cnc e,8.13928,,10.200
27,262.00000000,0.788000,0.305000,,90.000,12.53,5196.00,0.9050,0.94,HD 75732,55 Cnc f,44.81200,,10.200
28,874.77400000,2.180000,0.059000,,,56.95,4978.00,1.7000,5.20,HD 45410,6 Lyn b,,,
29,4.21500000,0.050201,0.120000,,,8.52,5577.00,0.9420,0.96,HD 115617,61 Vir b,,,8.960
30,38.02100000,0.217500,0.140000,,,8.52,5577.00,0.9420,0.96,HD 115617,61 Vir c,,,8.960
31,123.01000000,0.476000,0.350000,,,8.52,5577.00,0.9420,0.96,HD 115617,61 Vir d,,,8.960
32,763.00000000,1.900000,0.140000,,,19.84,4792.00,1.5200,2.30,HD 47205,7 CMa b,,,
33,116.69260000,0.481000,0.399000,,,18.11,5439.00,1.0900,1.94,HD 117176,70 Vir b,,,7.770
34,691.90000000,2.100000,0.117000,,,81.50,4846.00,2.4900,10.50,HD 15779,75 Cet b,953.50000,,
35,952.70000000,2.500000,0.206000,,,97.18,4785.00,2.4000,11.00,HD 16400,81 Cet b,,,
36,181.40000000,0.700000,0.027000,,,45.52,4665.00,1.4000,11.00,HD 219449,91 Aqr b,,,3.560
37,,260.000000,,,,45.52,,,,HD 44627,AB Pic b,4290.50000,,0.030
38,268.94000000,0.777000,0.290000,,,50.03,5008.00,0.8600,0.95,,BD+14 4559 b,,,
39,137.48000000,0.539000,0.260000,,,175.44,4796.00,1.1000,14.70,,BD+15 2940 b,,,7.100
40,7.78287000,0.066000,0.220000,,,25.40,4410.00,0.6300,0.71,,BD+20 1790 b,,,0.058
41,379.63000000,1.450000,0.150000,,,,4137.00,2.8000,49.00,,BD+20 2457 b,,,
42,621.99000000,2.010000,0.180000,,,,4137.00,2.8000,49.00,,BD+20 2457 c,,,
43,578.20000000,1.300000,0.210000,,,,4296.00,0.8000,17.30,,BD+20 274 b,1334.80000,,
44,,,,,,,4414.00,0.7400,11.00,,BD+48 738 b,,,
45,2590.00000000,4.200000,0.350000,,,,4943.00,1.5200,7.60,,BD+49 828 b,,,2.340
46,3.87280000,0.042800,0.000000,,,20.10,4324.00,0.7000,,,BD-06 1339 b,,,4.400
47,125.94000000,0.435000,0.310000,,,20.10,4324.00,0.7000,,,BD-06 1339 c,,,4.400
48,5.60000000,0.056000,0.150000,,,42.09,4746.00,0.7400,,,BD-08 2823 b,,,4.500
49,237.60000000,0.680000,0.190000,,,42.09,4746.00,0.7400,,,BD-08 2823 c,,,4.500
50,3.48777000,0.045200,0.019000,,,80.00,5393.00,1.0100,,,BD-10 3166 b,,,
51,1667.00000000,2.280000,0.050000,,,27.30,4475.00,0.5710,0.52,,BD-11 4672 b,,,4.400
52,714.30000000,2.100000,0.210000,,,766.00,,2.4000,,,BD-13 2130 b,,,0.740
53,655.60000000,1.340000,0.540000,,,37.54,4714.00,0.7400,0.69,,BD-17 63 b,,,4.300
54,10037.50000000,2.600000,,,,23.10,580.50,0.0210,,,CFBDSIR J145829+101343 b,3337.10000,,27.500
55,,210.000000,,,,,,0.3500,,,CHXR 73 b,3994.48600,,0.002
56,,440.000000,,,,165.00,,,,,CT Cha b,5403.00000,24.660,0.002
